id,Colonia,Delitos,latitude,longitude
127,AMPLIACION SAN FRANCISCO CULHUACAN,104,19.3313013587925,-99.1239774556582
128,AMPLIACION SAN JUAN DE ARAGON CTM,9,19.4560129003305,-99.0537778364279
129,AMPLIACIÓN SAN MIGUEL,5,19.3522997879753,-99.0678138233332
130,AMPLIACION SAN MIGUEL 8VA.,37,19.3522927003359,-99.0782141001289
131,AMPLIACIÓN SAN PEDRO XALPA,139,19.480166245764,-99.2167595705212
132,AMPLIACIÓN SANTA CATARINA,32,19.3239331457968,-98.9595419530248
133,AMPLIACION SIFON,3,19.3735384991576,-99.1122347003673
134,AMPLIACIÓN SIMÓN BOLÍVAR,16,19.4474233864221,-99.101822518676
135,AMPLIACIÓN SINATEL,26,19.3665558980847,-99.1330630000542
136,AMPLIACIÓN TEPEACA,10,19.3609079990136,-99.2342994002746
137,AMPLIACIÓN TLACUITLAPA,7,19.3545884377421,-99.2419200013649
138,AMPLIACION TLACUITLAPA II,6,19.35398597,-99.23679178
139,AMPLIACIÓN TORRE BLANCA,38,19.45440174,-99.19710333
140,AMPLIACIÓN VENUSTIANO CARRANZA,4,19.4474695075439,-99.1040293555185
141,AMPLIACIÓN VERACRUZANA,2,19.3519437996482,-99.0897705997111
142,AMPLIACION ZONA URBANA EJIDAL SANTA MARIA AZTAHUAC,88,19.34749775,-99.02519907
143,ANAHUAC,575,19.4444905837385,-99.1774026455322
144,ANGEL ZIMBRON,64,19.4700829,-99.1893246
145,AÑO DE JUÁREZ,54,19.3178858835147,-99.0731811867675
146,ANTONIO CARRILLO FLORES,5,19.363031900866,-99.2504973996399
147,ANZURES,201,19.43524,-99.1814476
148,APATLACO,119,19.3795458,-99.1141431
149,AQUILES SERDÁN,101,19.4462619033448,-99.0935997996583
150,ARAGÓN FOVISSSTE,24,19.4555128012112,-99.06072369966
151,ARAGÓN INGUARÁN,30,19.4711416029123,-99.1084275001474
152,ARAGÓN LA VILLA,154,19.47773926,-99.11385719
153,ARBOLEDAS DE CUAUTEPEC EL ALTO,39,19.5582702041108,-99.1250864999221
154,ARBOLEDAS DEL SUR,43,19.2947116035431,-99.1362185002721
155,ARCOS CENTENARIO,9,19.3616772002585,-99.2257917829023
156,ARCOS DEL SUR,3,19.2731547007968,-99.1236523997454
157,ARCOS LA ESMERALDA,3,19.4859737026602,-99.0869076995331
158,AREA FEDERAL COMPLEJO DE TELEFONIA (CONTEL S.C.T.),16,19.3666828009591,-99.0620150004052
159,AREA FEDERAL PANTEON CIVIL SAN NICOLAS TOLENTINO,2,19.3433581484748,-99.0762434396971
160,AREA FEDERAL PANTEON SAN LORENZO TEZONCO,132,19.30528210615,-99.0620110600063
161,AREA FEDERAL PARQUE CUITLAHUAC,5,19.3613741696677,-99.0405011380404
162,AREA FEDERAL PARQUE ECOLOGICO EL SALADO,45,19.3658176695858,-99.0058706090774
163,ARENAL,63,19.4656925589868,-99.1545747025699
164,ARENAL 1A SECCIÓN,62,19.4239238999981,-99.0655916996033
165,ARENAL 2A SECCIÓN,11,19.422466833057,-99.0578753546875
166,ARENAL 3A SECCIÓN,12,19.4255626466559,-99.0553264982188
167,ARENAL 4A SECCIÓN,100,19.4321468077662,-99.0622415643008
168,ARENAL PUERTO AÉREO,11,19.4292611492215,-99.0621595322109
169,ARENAL TEPEPAN,64,19.2851200408781,-99.1476092860718
170,ARGENTINA ANTIGUA,99,19.4539562007215,-99.2047976997959
171,ARGENTINA PONIENTE,124,19.4587134722169,-99.2035421943489
172,ARTES GRAFICAS,53,19.409837943262,-99.12534280346
173,ARTURO MARTÍNEZ,39,19.3866755235952,-99.2168731132017
174,ARVIDE,49,19.3817523348278,-99.2043259304787
175,ASTURIAS,55,19.4051225,-99.1331721
176,ATACAXCO,7,19.3147567413532,-99.2516595296903
177,ATENOR SALAS,37,19.4024097,-99.1451402
178,ATLAMAXAC,6,19.35648962,-99.24717143
179,ATLAMAYA,12,19.3501733346511,-99.200899583321
180,ATLAMPA,164,19.4632053976636,-99.1550894003982
181,ATLÁNTIDA,31,19.3376708957584,-99.1471376996591
182,AVANTE,104,19.3244259322921,-99.129100531784
183,AVE REAL,14,19.36128882,-99.23770038
184,AVIACIÓN CIVIL,111,19.4157819926188,-99.0785273153282
185,AXOTLA,65,19.360905001113,-99.1740201999213
186,AZTECA,25,19.439549499325,-99.1071199003915
187,AZTLAN LOS APACHES,2,19.287347800664,-99.1059512004459
188,BALCONES DE CEHUAYO,20,19.3562629035302,-99.2394003001925
189,BANJIDAL,32,19.3618410512604,-99.1366407162944
190,BARRANCA SECA,61,19.3075235725286,-99.2399793405729
191,BARRIO 18,61,19.2804219972371,-99.113732308218
192,BARRIO 3 DE MAYO,8,19.2477717644132,-99.0606228168481
193,BARRIO BELÉN,23,19.2591288159797,-99.1030610270822
194,BARRIO CALYEQUITA,34,19.2540800570677,-99.0100290748268
195,BARRIO CANDELARIA TICOMÁN,81,19.5217925961121,-99.1352380003007
196,BARRIO DE CARAMAGÜEY,3,19.2927927015299,-99.183150899587
197,BARRIO DEL NIÑO JESÚS,45,19.2855617030554,-99.1625915004679
198,BARRIO EL CAPULÍN,12,19.2824940008695,-99.1905973999021
199,BARRIO EL ROSARIO,52,19.2616921179796,-99.1047614867765
